Country,Year,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
Canada,2014,5.58,28844.3,0.86,76.8,0.28,-0.18,0.03,11.11,0.71,547099715,85.49,7.59,0.44,74.64,24.25,3.57,62.75,7.51,88.07,50.41,0.43,90.71
UK,2024,6.87,54565.55,0.92,75.89,0.05,0.41,0.91,10.88,0.85,1355987683,64.99,6.81,0.68,70.75,58.74,7.45,76.95,4.79,72.18,53.96,0.42,83.94
Australia,2017,5.81,22428.16,0.35,50.34,0.9,0.23,0.89,16.62,0.87,689152127,41.07,8.69,0.1,92.34,47.29,8.53,64.27,3.7,66.39,46.28,0.34,69.13
Canada,2018,5.76,17941.98,0.72,62.94,0.73,0.37,0.22,4.49,0.89,1303897329,68.94,8.56,0.19,83.95,20.77,6.02,75.05,3.31,82.58,37.23,0.81,88.25
South Africa,2009,3.57,30543.36,0.44,71.24,1.0,0.17,0.78,13.77,0.75,1123382342,57.93,4.26,0.03,48.96,39.02,7.53,32.48,8.1,83.43,71.58,0.51,52.56
Australia,2008,3.63,27900.82,0.66,65.85,0.3,0.22,0.05,10.57,0.9,370530122,85.88,4.96,0.9,65.23,30.54,6.11,54.51,5.83,77.15,66.13,0.99,65.32
South Africa,2018,5.65,21321.25,0.34,77.23,0.88,0.29,0.29,15.38,0.51,257800348,39.66,7.38,0.57,59.28,41.6,5.26,76.01,6.02,84.6,79.89,0.52,66.41
France,2014,4.34,41930.74,0.32,64.89,0.6,0.44,0.62,2.54,0.84,1144812996,72.72,8.61,0.52,88.12,27.15,2.27,54.55,3.37,92.33,38.89,0.82,55.03
Canada,2021,3.11,45814.15,0.42,55.39,0.45,-0.14,0.76,12.67,0.62,1291324562,70.9,6.15,0.71,83.14,22.27,3.39,84.3,5.93,88.02,12.71,0.75,85.6
UK,2014,6.61,51326.05,0.15,84.17,0.22,0.03,0.01,12.02,0.64,792021042,89.01,4.19,0.99,68.32,32.93,5.84,97.26,6.87,44.08,55.6,0.4,87.32
China,2011,3.16,58398.54,0.83,58.47,0.74,0.3,0.33,17.14,0.55,1340600676,63.89,7.22,0.17,89.42,31.82,5.17,32.62,3.74,86.75,64.84,0.79,77.99
Brazil,2020,5.98,16732.72,0.35,75.12,0.9,0.47,0.21,14.18,0.6,592950091,82.29,4.97,0.13,64.6,48.68,8.74,89.87,8.42,82.98,75.57,0.15,70.06
Germany,2005,5.7,43249.52,0.4,55.01,0.24,0.49,1.0,17.84,1.0,688207797,31.48,6.76,0.29,88.21,38.98,2.87,41.83,7.7,90.97,10.73,0.2,79.14
USA,2021,7.84,24261.24,0.89,61.52,0.18,0.25,0.67,17.97,0.71,221909779,37.37,5.92,0.9,41.92,31.65,2.4,94.21,7.81,80.68,71.57,0.62,93.12
UK,2013,5.42,40947.84,0.5,65.47,0.7,-0.06,0.41,9.35,0.96,1188244902,50.76,6.79,0.41,48.08,42.82,2.7,96.28,6.22,88.28,46.17,0.71,67.17
Canada,2010,3.32,29082.92,0.54,56.73,0.98,-0.12,0.08,4.47,0.58,547250337,67.16,8.66,0.79,85.36,22.85,7.42,69.84,5.0,40.56,36.24,0.64,66.04
Brazil,2023,5.76,59632.61,0.96,65.75,0.75,0.46,0.6,13.35,0.6,413872917,56.94,6.43,0.2,46.86,46.49,6.76,63.53,6.84,93.78,25.54,0.51,79.89
UK,2017,7.21,44005.23,0.89,55.5,0.28,0.1,0.64,17.73,0.78,777995501,42.16,4.17,0.49,81.03,25.89,7.06,83.09,4.35,50.5,66.99,0.14,82.81
Canada,2007,7.98,57196.99,0.17,69.57,0.42,-0.06,0.82,3.35,0.67,199429752,65.35,6.9,0.13,83.41,31.19,3.26,94.26,3.82,87.53,35.46,0.37,71.97
India,2011,5.15,50263.2,0.47,73.23,0.38,0.45,0.29,12.04,0.82,1461552121,64.0,5.63,0.41,79.73,31.28,6.13,46.27,6.23,91.13,52.32,0.6,91.26
India,2013,4.6,54271.16,0.97,52.19,0.85,-0.13,0.98,4.07,0.71,445686707,61.47,7.89,0.26,89.09,38.63,8.14,56.77,5.87,40.12,45.82,0.23,66.91
South Africa,2009,7.53,49050.73,0.37,80.49,0.77,0.31,0.44,2.49,0.91,1434173341,35.43,6.35,0.55,70.7,58.13,7.47,59.23,3.9,90.25,28.42,0.64,80.76
UK,2014,3.96,28090.39,0.37,56.48,0.59,0.24,0.3,14.23,0.72,1407009387,85.62,7.71,0.78,93.82,32.99,5.51,89.21,6.18,85.61,65.14,0.23,82.05
India,2021,6.08,15855.52,0.2,57.89,0.27,-0.14,0.35,14.27,0.79,441853150,65.54,8.54,0.94,74.17,31.25,2.83,39.58,6.28,90.73,30.87,0.1,64.15
Canada,2016,5.03,22848.89,0.11,73.15,0.94,0.04,0.52,12.81,0.66,408751811,45.84,5.81,0.28,70.47,26.75,8.97,73.61,8.23,49.73,65.11,0.32,50.9
South Africa,2020,3.21,2193.94,0.74,66.41,0.65,-0.1,0.94,17.47,0.85,1332623344,71.25,8.95,0.74,70.56,35.68,6.21,54.57,7.56,82.76,38.67,0.27,89.68
Canada,2007,4.74,31915.6,0.77,67.48,0.97,0.22,0.74,3.46,0.83,372210607,49.07,4.75,0.89,94.72,27.28,9.12,91.99,4.31,66.81,12.11,0.81,73.16
South Africa,2013,4.33,30798.41,0.97,54.49,0.58,0.13,0.58,3.89,0.7,583381592,60.35,7.22,0.12,54.62,25.51,5.51,53.79,7.91,54.17,63.72,0.48,54.58
UK,2019,6.43,31989.78,0.77,78.2,0.82,-0.2,0.16,17.56,0.64,512534623,50.47,4.17,0.59,81.7,54.29,3.9,98.46,8.81,81.59,72.95,0.06,95.96
Brazil,2009,7.74,58467.84,0.24,71.6,0.81,0.48,0.15,11.06,0.81,1064493698,82.82,5.07,0.61,54.56,22.11,4.46,31.09,7.3,66.03,18.39,0.82,64.23
China,2017,4.34,54775.79,0.04,54.74,0.34,0.04,0.5,6.91,0.97,169391893,89.64,7.17,0.27,45.53,48.43,5.35,46.77,7.72,89.49,50.97,0.27,72.77
Australia,2018,7.06,10541.05,0.99,63.09,0.96,-0.02,0.73,15.29,0.57,1404119552,39.67,4.23,0.02,97.22,28.1,6.91,62.01,4.6,79.09,15.02,0.57,73.24
Brazil,2024,3.28,22764.07,0.34,78.36,0.02,-0.04,0.75,18.1,0.9,264532354,31.41,4.51,0.26,47.78,20.47,8.15,47.94,8.95,47.65,68.09,0.54,67.8
France,2019,5.69,26013.41,0.31,69.89,0.77,-0.09,0.23,14.41,0.77,492264018,43.16,5.46,0.58,81.17,51.81,3.94,81.62,4.06,53.79,79.16,0.97,57.28
Canada,2020,3.35,22271.44,0.91,53.8,0.97,0.5,0.1,16.25,0.76,296290982,65.4,6.88,0.2,65.47,48.09,3.5,87.02,7.51,54.55,44.65,0.25,83.81
France,2017,7.67,48111.26,0.59,63.05,0.34,0.01,0.38,7.08,0.98,203468154,40.44,4.08,0.29,90.23,33.37,3.62,78.83,5.37,58.92,31.94,0.15,59.38
Brazil,2021,6.83,31918.22,0.21,58.49,0.65,0.08,0.92,7.2,0.8,259584072,78.69,6.41,0.71,86.39,23.17,9.48,97.93,5.14,76.65,69.2,0.26,82.75
South Africa,2012,6.29,34753.89,0.89,68.11,0.56,0.41,0.55,17.55,0.92,1036073621,54.52,7.13,0.4,48.63,34.43,3.31,61.92,4.71,89.19,46.45,0.58,88.5
Australia,2006,7.12,51327.8,0.99,79.52,0.76,0.25,0.32,13.07,0.76,267043307,66.63,6.01,0.07,68.07,27.25,4.77,98.58,5.65,72.65,41.43,0.22,51.11
Australia,2009,6.24,48549.76,0.09,65.27,0.87,0.06,0.32,6.21,0.62,1310754829,57.34,4.34,0.4,41.65,57.3,5.89,38.72,7.75,81.35,25.95,0.34,85.13
USA,2010,7.84,8800.48,0.86,65.17,0.6,0.43,0.13,11.43,0.85,1100260224,84.2,7.05,1.0,65.77,41.18,6.45,89.22,8.65,57.42,53.12,0.66,80.63
Australia,2016,6.57,43120.96,0.39,81.69,0.82,0.32,0.47,14.35,0.96,1166150552,32.11,7.03,0.26,82.01,58.55,8.86,32.69,5.5,68.74,52.44,0.12,59.4
China,2022,7.62,26690.73,0.52,70.17,0.31,-0.04,0.79,5.93,0.92,88876436,73.76,6.53,0.27,53.93,34.05,2.9,67.23,6.91,67.73,28.4,0.95,79.77
Australia,2005,5.59,18384.29,0.91,69.82,0.23,0.25,0.97,13.79,0.6,498403746,69.13,7.47,0.17,88.6,42.26,2.86,63.91,7.73,78.56,24.8,0.53,70.2
Brazil,2021,3.59,3951.11,0.97,59.17,0.43,0.45,0.5,2.76,0.66,1105638442,68.97,5.04,0.27,43.19,27.6,4.53,89.94,3.6,68.49,40.7,0.48,54.06
USA,2015,5.64,29747.72,0.26,71.27,0.68,0.15,0.17,7.47,0.76,789492900,54.84,7.39,0.57,42.07,52.34,5.31,79.05,8.76,58.38,41.56,0.36,75.14
Brazil,2014,3.63,21970.76,0.21,70.16,0.19,0.31,0.68,14.13,0.79,976155739,30.94,4.81,0.96,41.65,21.64,4.99,60.87,4.27,53.41,18.99,0.25,96.72
Brazil,2023,5.96,15839.27,0.08,63.89,0.68,0.48,0.76,4.69,0.6,306168077,71.35,5.96,0.61,56.8,47.82,5.14,92.7,8.49,54.01,29.32,0.48,81.14
Germany,2018,5.41,41985.63,0.56,84.67,0.39,0.28,0.07,6.0,0.62,820491628,79.77,4.34,0.41,68.03,35.67,8.81,92.01,8.92,93.95,21.22,0.49,65.87
USA,2014,6.11,46399.64,0.01,80.87,0.8,-0.13,0.85,17.82,0.88,206159885,35.11,8.1,0.39,46.45,43.14,8.69,31.73,3.6,59.66,73.1,0.06,77.05
Brazil,2019,3.05,15442.58,0.41,76.24,0.04,-0.03,0.83,14.14,0.87,163995163,56.5,6.69,0.02,99.8,43.69,8.44,90.97,8.36,84.36,15.2,0.85,85.41
Germany,2023,3.97,3917.4,0.07,68.81,0.67,0.22,0.47,10.98,0.92,918070274,39.76,8.86,0.0,99.97,48.43,8.04,66.86,6.85,43.93,71.51,0.82,57.5
Germany,2008,5.46,51076.41,0.41,66.17,0.65,-0.01,0.56,5.8,0.97,1228262316,66.66,8.71,0.8,71.19,28.17,2.32,88.73,7.91,44.93,46.95,0.45,75.38
USA,2006,7.75,1587.62,0.04,56.47,0.94,0.47,0.71,8.15,0.65,652583857,77.14,8.99,0.49,74.08,41.26,3.2,42.69,3.65,77.74,56.57,0.34,74.33
France,2013,4.92,56289.64,0.84,60.7,0.71,0.08,0.68,12.34,0.93,827391408,70.0,4.51,0.03,95.61,37.08,7.86,40.58,8.01,65.15,74.63,0.5,68.07
South Africa,2014,5.12,38029.57,0.21,77.09,0.8,0.12,0.02,4.8,0.83,1433463750,49.08,7.03,0.29,86.19,31.29,6.76,80.55,6.76,88.43,35.58,0.22,85.86
China,2015,6.57,19988.95,0.33,65.88,0.9,0.29,0.12,10.67,0.98,1148372341,38.38,6.04,0.36,50.08,39.83,7.39,49.28,6.06,87.42,59.18,0.0,77.12
South Africa,2018,6.02,15542.2,0.87,80.88,0.68,0.17,0.16,9.36,0.64,558831519,77.66,6.66,0.78,87.55,58.08,7.74,69.12,6.36,81.56,57.02,0.35,83.55
Australia,2011,4.49,1531.33,0.75,55.18,0.29,0.07,0.76,10.58,0.63,1256980613,49.44,5.54,0.43,53.86,57.96,9.29,78.22,7.47,84.84,79.18,0.02,78.61
China,2019,5.05,14892.81,0.22,67.79,0.87,-0.15,0.44,3.9,0.85,1049078164,31.33,4.24,0.79,65.81,31.15,7.08,72.73,4.79,87.88,13.22,0.04,87.49
Australia,2023,4.09,9125.97,0.07,72.64,0.75,0.22,0.55,3.92,0.96,217924018,64.29,7.54,0.63,71.95,55.37,4.2,78.93,8.66,83.1,41.88,0.03,80.43
Brazil,2019,7.83,37117.81,0.72,68.09,0.42,0.41,0.77,19.35,0.91,127619319,44.8,8.83,0.03,83.02,55.07,2.66,73.43,4.85,68.98,79.27,0.88,82.53
Canada,2012,3.65,10826.19,0.39,81.12,0.71,0.28,0.34,19.63,0.86,1140931506,80.47,6.66,0.97,49.01,29.98,5.46,56.54,8.26,54.56,32.95,0.14,60.82
USA,2015,4.86,32189.16,0.77,84.63,0.87,0.07,0.75,9.67,0.69,585937719,38.6,5.65,0.18,44.57,43.96,7.68,36.33,3.07,83.31,77.6,0.25,90.6
China,2013,3.13,35816.87,0.45,54.05,0.98,-0.11,0.44,16.2,0.86,1014705597,56.09,8.69,0.28,91.97,54.8,4.26,89.87,8.5,57.47,67.17,0.49,57.46
China,2019,4.11,18584.46,0.35,54.55,0.95,0.37,0.38,13.8,0.9,286824187,45.19,5.82,0.81,89.61,40.6,2.96,89.22,8.11,53.46,33.75,0.53,66.31
Brazil,2005,6.9,3068.83,0.45,54.56,0.33,0.46,0.33,4.1,0.88,1366946498,71.38,8.57,0.19,71.4,34.79,9.99,30.4,3.75,49.44,12.04,0.12,92.69
France,2005,4.01,3197.98,0.75,73.84,0.42,0.07,0.96,7.34,0.84,1181300109,62.91,8.28,0.4,79.74,46.03,5.35,88.86,7.42,74.5,29.62,0.91,55.21
Germany,2023,3.4,2554.49,0.9,63.04,0.11,0.31,0.77,7.65,0.52,490609940,77.46,6.64,0.86,83.16,26.9,3.73,40.57,5.24,53.34,18.66,0.23,91.6
Brazil,2007,5.37,44608.36,0.05,75.67,0.25,0.09,0.02,12.72,0.83,171412314,57.52,7.38,0.64,68.59,26.47,3.32,53.3,5.88,60.62,39.99,0.94,72.82
India,2014,3.05,19762.57,0.52,64.19,0.88,0.15,0.96,12.44,0.74,632722693,30.29,7.5,0.3,55.43,53.31,8.9,58.93,3.41,79.0,75.77,0.26,58.81
Germany,2012,3.42,47981.71,0.03,71.97,0.36,0.39,0.78,18.62,0.98,1122594608,42.91,7.21,0.64,68.88,21.67,8.56,77.57,4.28,83.66,45.88,0.0,85.39
USA,2019,7.04,26472.24,0.47,76.95,0.62,-0.14,0.15,16.22,0.8,422247169,89.95,4.8,0.81,97.05,52.15,6.91,36.47,8.72,57.31,41.33,0.97,63.63
Germany,2014,6.86,27726.89,0.89,69.19,0.67,0.17,0.08,17.42,0.8,936136534,54.32,7.46,0.4,90.27,31.62,6.38,87.87,5.51,86.35,25.1,0.48,82.54
France,2005,7.58,31260.07,0.36,68.88,0.78,-0.05,0.31,18.04,1.0,186758508,67.21,4.02,0.57,67.93,39.32,9.61,95.99,3.16,43.19,53.5,0.88,87.96
Germany,2022,7.27,43068.86,0.93,53.09,0.18,0.04,0.62,16.42,0.55,166995129,84.3,7.55,0.99,53.53,41.74,3.83,96.69,6.09,94.22,41.88,0.73,77.33
USA,2006,6.42,17136.67,0.63,64.38,0.3,0.25,0.62,7.99,0.64,852030419,31.23,6.77,0.96,93.38,50.68,5.32,36.43,8.97,62.93,64.09,0.18,87.73
France,2023,3.26,8173.65,0.93,69.1,0.45,-0.18,0.28,5.87,0.83,542938484,69.58,5.3,0.51,78.29,55.35,2.2,94.36,5.0,57.87,46.13,0.85,94.88
South Africa,2017,6.91,33807.38,0.76,66.17,0.36,0.22,0.45,12.29,0.66,889132107,47.3,8.02,0.1,64.28,52.17,5.35,69.75,3.85,90.8,72.06,0.05,76.42
China,2005,7.23,20291.68,0.1,81.53,0.98,-0.0,0.21,14.41,0.67,647458898,46.75,6.03,0.7,46.7,42.89,5.07,80.88,6.86,47.28,64.81,0.51,57.31
China,2006,7.0,27106.99,0.23,81.73,0.83,0.27,0.05,8.96,0.95,1337540553,43.49,6.43,0.27,85.11,33.92,9.6,95.14,8.52,59.68,20.15,0.25,84.06
Australia,2020,5.54,39169.86,0.39,78.77,0.48,-0.1,0.52,17.27,0.79,138048017,79.36,4.14,0.67,59.02,41.06,4.87,76.27,8.15,59.74,19.52,0.36,69.68
South Africa,2019,4.16,30153.42,0.17,63.14,0.88,0.32,0.35,19.29,0.55,1125985474,52.38,6.01,0.35,76.38,21.2,8.68,61.97,6.94,63.34,11.7,0.76,75.5
South Africa,2017,7.23,37596.45,0.49,75.11,0.35,0.25,0.54,12.25,0.66,751932943,34.03,4.84,0.72,74.18,29.8,8.13,66.76,4.1,86.66,35.83,0.68,80.09
Germany,2020,6.64,33107.8,0.47,63.84,0.79,0.48,0.95,10.22,0.54,425659774,35.81,5.38,0.37,81.98,34.65,3.18,77.92,7.71,86.72,13.82,0.44,84.44
China,2021,7.9,44647.99,0.96,58.14,0.22,0.44,0.14,17.17,0.78,1251358641,38.92,5.26,0.94,72.26,32.79,9.7,96.13,7.94,72.54,41.5,0.05,80.71
USA,2011,3.78,42650.26,0.43,62.0,0.77,-0.0,0.0,2.44,0.59,1243217047,83.94,4.23,0.14,77.82,23.81,7.05,92.29,8.1,94.55,26.89,0.04,61.18
UK,2021,4.13,32517.2,0.79,52.48,0.46,-0.18,0.08,4.32,0.93,967223632,55.65,6.3,0.07,44.89,22.03,6.77,70.39,5.42,86.43,44.88,0.7,85.91
UK,2011,4.06,41055.28,0.94,61.61,0.11,0.26,0.46,17.22,0.79,1053800164,84.96,6.61,0.78,79.92,36.83,2.09,44.77,5.45,77.46,21.08,0.95,88.75
France,2017,6.96,52540.02,0.88,66.13,0.27,0.22,0.71,15.18,0.53,1484313261,79.05,6.86,0.4,51.65,22.99,7.59,54.27,3.93,50.97,48.44,0.85,51.81
China,2009,3.93,26504.01,0.21,83.44,0.4,-0.18,0.58,9.49,0.65,645010466,80.27,6.31,0.47,63.52,31.45,2.45,55.33,7.64,70.24,77.65,0.12,64.79
China,2021,3.33,25353.02,0.5,60.97,0.75,-0.11,0.49,18.0,0.81,752677822,47.21,8.35,0.93,70.75,38.99,3.48,50.24,7.42,51.76,54.61,0.12,96.93
UK,2007,7.99,46090.49,0.35,81.59,0.07,0.21,0.35,8.33,0.67,365565944,46.28,4.19,0.59,81.21,28.4,2.79,82.27,3.6,56.59,49.51,0.61,58.53
China,2011,3.12,35370.68,0.4,58.01,0.66,0.44,0.31,13.41,0.76,421082702,63.6,7.07,0.66,84.55,23.18,5.03,88.52,3.12,77.72,65.16,0.66,58.78
Germany,2021,7.18,5189.4,0.36,56.68,0.72,0.43,0.38,13.42,0.95,1313145547,55.08,8.33,0.02,82.3,37.29,8.37,52.39,8.71,50.14,10.39,0.62,78.38
India,2011,4.83,53634.61,0.83,68.16,0.65,-0.09,0.61,5.32,0.68,469101872,60.54,4.21,0.67,45.71,37.94,7.66,89.23,3.1,45.0,29.77,0.89,66.23
Canada,2005,7.21,2816.2,0.45,73.54,0.76,0.07,0.17,7.13,0.67,1215213936,33.19,6.48,0.39,63.21,56.62,2.85,81.41,6.77,69.24,79.09,0.23,81.54
South Africa,2021,5.77,45155.39,0.52,51.55,0.18,-0.17,0.77,18.49,0.91,1119013335,88.3,6.95,0.46,56.84,25.11,8.39,60.88,5.72,40.05,64.78,0.17,62.61
Australia,2021,7.51,45768.85,0.98,57.74,0.59,0.13,0.58,5.3,0.66,10042726,33.49,4.95,0.81,63.91,44.6,5.69,78.91,7.66,73.49,16.32,0.91,70.45
France,2015,7.63,57233.55,0.06,65.95,0.94,0.33,0.27,5.12,0.54,1132984697,40.73,5.26,0.52,78.81,32.79,2.26,83.85,3.53,89.57,32.85,0.72,97.92
India,2007,3.05,4193.93,0.49,61.59,0.61,0.35,0.5,10.63,0.59,973904801,70.69,7.93,0.99,51.58,24.94,3.79,69.27,7.09,50.46,40.79,0.71,67.93
UK,2019,3.38,36214.55,0.77,74.94,0.61,0.15,0.96,3.66,0.97,70643567,39.33,6.84,0.8,70.13,35.73,8.28,61.02,6.69,61.05,75.42,0.34,54.14
South Africa,2015,4.25,26242.59,0.15,67.89,0.74,-0.13,0.02,18.1,0.97,296314508,36.41,5.58,0.73,93.09,37.12,7.87,37.12,8.12,90.4,51.03,0.63,85.64
